Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw
S1007854_R.JPG,33.013032,-87.639661,144.274002,4.888428,-89.998564,60.462062
S1007857_R.JPG,33.013096,-87.639524,144.580002,4.202666,-89.99701,60.494291
S1007860_R.JPG,33.01316,-87.639386,144.766998,2.983301,-89.995776,60.621265
S1007863_R.JPG,33.013224,-87.639249,144.822006,2.504174,-89.995131,60.836682
S1007866_R.JPG,33.013288,-87.639112,144.763,2.635115,-89.993285,60.901251
S1007869_R.JPG,33.013352,-87.638976,144.658997,2.402174,-89.993534,60.439779
S1007872_R.JPG,33.013505,-87.639068,144.438995,-18.580743,-89.992163,240.59854
S1007875_R.JPG,33.013449,-87.639207,144.056,-1.547374,-89.985817,239.90839
S1007878_R.JPG,33.013384,-87.639344,144.158005,-0.796522,-89.995473,240.258258
S1007881_R.JPG,33.01332,-87.63948,144.283997,-1.781495,-89.994055,239.866404
S1007884_R.JPG,33.013255,-87.639619,144.201996,-0.714531,-89.992218,240.288179
S1007887_R.JPG,33.013192,-87.639756,144.188995,-2.264377,-89.996484,239.810938
S1007890_R.JPG,33.013127,-87.639895,144.335999,-3.845005,-89.993942,240.559869
S1007893_R.JPG,33.013063,-87.640032,144.039993,-1.040932,-89.997037,240.013974
S1007896_R.JPG,33.012998,-87.640171,144.018005,-2.781096,-89.989796,240.822072
S1007899_R.JPG,33.012934,-87.640308,144.024994,-1.412973,-89.983944,240.029148
S1007902_R.JPG,33.012871,-87.640444,144.139999,-3.686594,-89.997639,240.599411
S1007905_R.JPG,33.013018,-87.640551,144.345993,18.456051,-89.995239,60.835865
S1007908_R.JPG,33.013087,-87.64042,144.442001,3.448419,-89.994166,60.781486
S1007911_R.JPG,33.013151,-87.640282,144.362,3.351016,-89.995372,61.229199
S1007914_R.JPG,33.013216,-87.640143,144.020004,4.09973,-89.997968,60.687105
S1007917_R.JPG,33.013279,-87.640006,143.938004,3.299938,-89.998481,60.875238
S1007920_R.JPG,33.013345,-87.639865,143.798004,4.579717,-89.991477,60.865926
S1007923_R.JPG,33.01341,-87.639727,143.856995,4.759809,-89.998258,61.493935
S1007926_R.JPG,33.013474,-87.639589,143.826996,3.93905,-89.998468,61.251622
S1007929_R.JPG,33.013539,-87.63945,143.585999,3.826177,-89.997245,60.642138
S1007932_R.JPG,33.013603,-87.639312,143.511993,2.196576,-89.999559,61.153331
S1007935_R.JPG,33.013668,-87.639174,143.494003,2.774618,-89.998943,61.610279
S1007938_R.JPG,33.013823,-87.639268,143.561005,-21.431691,-89.99839,241.446718
S1007941_R.JPG,33.013765,-87.639404,143.244995,-1.645898,-89.994664,240.937341
S1007944_R.JPG,33.013701,-87.639542,142.837006,-3.563414,-89.997868,241.561507
S1007947_R.JPG,33.013636,-87.639682,142.809006,-3.08336,-89.990992,241.163371
S1007950_R.JPG,33.013572,-87.639822,143.050995,-9.06239,-89.997384,242.197129
S1007953_R.JPG,33.013506,-87.639961,143.345993,-6.483903,-89.995701,242.080017
S1007956_R.JPG,33.013441,-87.640099,143.412003,-5.719338,-89.996746,240.801081
S1007959_R.JPG,33.013376,-87.640237,143.335007,-0.844321,-89.992363,240.656969
S1007962_R.JPG,33.01331,-87.640379,143.322998,-1.215014,-89.991634,241.060228
S1007965_R.JPG,33.013246,-87.640518,143.285004,-1.347652,-89.995002,241.108582
S1007968_R.JPG,33.013181,-87.640656,143.113007,-0.716542,-89.989608,240.806605
S1007971_R.JPG,33.013329,-87.640764,143.274994,16.722042,-89.998604,59.713414
S1007974_R.JPG,33.013399,-87.64063,143.214005,2.768377,-89.998351,60.833367
S1007977_R.JPG,33.013464,-87.64049,143.145004,2.040374,-89.997845,61.408338
S1007980_R.JPG,33.013529,-87.64035,143.246994,8.164099,-89.99878,61.434454
S1007983_R.JPG,33.013594,-87.64021,143.035995,4.559377,-89.989806,61.65293
S1007986_R.JPG,33.01366,-87.64007,143.130997,2.556385,-89.993321,60.711169
S1007989_R.JPG,33.013724,-87.63993,143.013,2.219927,-89.999715,61.354417
S1007992_R.JPG,33.01379,-87.639791,142.917007,2.971982,-89.998262,61.078005
S1007995_R.JPG,33.013854,-87.639652,143.052994,0.699898,-89.998857,60.90052
S1007998_R.JPG,33.013921,-87.639512,142.677994,4.205475,-89.998671,60.475658
S1008001_R.JPG,33.013987,-87.639371,142.352005,2.883965,-89.995752,60.95198
S1008004_R.JPG,33.01414,-87.639465,142.737,-17.956579,-89.988692,240.365435
