Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,ImageWidth,ImageHeight
S1007846.JPG,33.012904,-87.639935,144.240005,4.089376,-89.99054,60.515844,8192,6144
S1007849.JPG,33.012968,-87.639798,144.182999,4.588662,-89.990365,60.554938,8192,6144
S1007852.JPG,33.013032,-87.639661,144.281006,3.614229,-89.99467,60.391116,8192,6144
S1007855.JPG,33.013096,-87.639524,144.557007,4.223499,-89.996871,60.374091,8192,6144
S1007858.JPG,33.01316,-87.639386,144.755997,3.353599,-89.993108,60.393313,8192,6144
S1007861.JPG,33.013224,-87.639249,144.806,2.727814,-89.996329,60.718661,8192,6144
S1007864.JPG,33.013288,-87.639112,144.746002,3.158334,-89.99571,60.767725,8192,6144
S1007867.JPG,33.013351,-87.638975,144.654999,1.71805,-89.99215,60.443565,8192,6144
S1007870.JPG,33.013508,-87.639071,144.457993,-13.406182,-89.998784,240.377933,8192,6144
S1007873.JPG,33.013448,-87.639209,144.065994,-3.290695,-89.995645,240.787046,8192,6144
S1007876.JPG,33.013383,-87.639346,144.184998,-1.15824,-89.994036,240.676625,8192,6144
S1007879.JPG,33.013319,-87.639483,144.328995,-2.823518,-89.998396,240.917706,8192,6144
S1007882.JPG,33.013255,-87.639621,144.270996,-2.558731,-89.994689,240.964699,8192,6144
S1007885.JPG,33.013191,-87.639758,144.253006,-1.6955,-89.99411,239.962909,8192,6144
S1007888.JPG,33.013127,-87.639896,144.455002,-5.968579,-89.997686,241.319047,8192,6144
S1007891.JPG,33.013062,-87.640033,144.147003,-2.623849,-89.994066,240.707755,8192,6144
S1007894.JPG,33.012998,-87.640172,144.132004,-5.000974,-89.997878,241.331677,8192,6144
S1007897.JPG,33.012934,-87.640309,144.136002,-3.846655,-89.997699,241.074391,8192,6144
S1007900.JPG,33.01287,-87.640447,144.126999,-5.251111,-89.986986,241.311378,8192,6144
S1007903.JPG,33.013021,-87.640554,144.360992,14.417468,-89.991746,60.781331,8192,6144
S1007906.JPG,33.013087,-87.64042,144.425003,4.057597,-89.99373,60.70791,8192,6144
S1007909.JPG,33.013151,-87.640281,144.332001,3.304522,-89.994126,60.737592,8192,6144
S1007912.JPG,33.013216,-87.640143,143.987,3.243487,-89.998136,60.474241,8192,6144
S1007915.JPG,33.01328,-87.640005,143.889008,4.979948,-89.999431,60.797263,8192,6144
S1007918.JPG,33.013345,-87.639865,143.768997,4.841253,-89.989712,60.541152,8192,6144
S1007921.JPG,33.01341,-87.639726,143.830994,4.96291,-89.995734,61.107037,8192,6144
S1007924.JPG,33.013475,-87.639588,143.791,4.083372,-89.992968,60.735317,8192,6144
S1007927.JPG,33.013539,-87.639449,143.561005,3.395099,-89.990524,60.489917,8192,6144
S1007930.JPG,33.013604,-87.639311,143.537994,3.73228,-89.998675,60.767796,8192,6144
S1007933.JPG,33.013668,-87.639173,143.419006,2.477022,-89.998874,61.075706,8192,6144
S1007936.JPG,33.013825,-87.639269,143.589996,-15.269716,-89.997841,241.314283,8192,6144
S1007939.JPG,33.013765,-87.639407,143.261002,-3.69693,-89.994651,241.859233,8192,6144
S1007942.JPG,33.0137,-87.639546,142.811005,-6.337167,-89.993786,241.970404,8192,6144
S1007945.JPG,33.013635,-87.639685,142.828995,-7.79982,-89.998908,241.980741,8192,6144
S1007948.JPG,33.013571,-87.639824,143.074005,-9.520735,-89.99905,242.305385,8192,6144
S1007951.JPG,33.013505,-87.639963,143.388,-7.469003,-89.998655,242.224567,8192,6144
S1007954.JPG,33.01344,-87.640102,143.395004,-4.521514,-89.996495,241.563747,8192,6144
S1007957.JPG,33.013375,-87.640241,143.341003,-4.082432,-89.99222,241.510766,8192,6144
S1007960.JPG,33.01331,-87.640381,143.401001,-2.608776,-89.99876,241.343469,8192,6144
S1007963.JPG,33.013245,-87.64052,143.283005,-3.964224,-89.998082,241.703278,8192,6144
S1007966.JPG,33.01318,-87.640658,143.121994,-2.041856,-89.990498,241.512221,8192,6144
S1007969.JPG,33.013331,-87.640766,143.270004,12.54029,-89.997606,60.40719,8192,6144
S1007972.JPG,33.013399,-87.640629,143.171005,1.907427,-89.99932,60.932288,8192,6144
S1007975.JPG,33.013464,-87.640489,143.119995,2.948435,-89.9988,61.379771,8192,6144
S1007978.JPG,33.013529,-87.64035,143.199997,5.063096,-89.997025,60.895166,8192,6144
S1007981.JPG,33.013594,-87.640209,143.009003,4.058059,-89.98829,61.089935,8192,6144
S1007984.JPG,33.013659,-87.640069,143.091003,1.431069,-89.990333,60.735301,8192,6144
S1007987.JPG,33.013724,-87.63993,142.953995,2.707775,-89.998625,60.98265,8192,6144
S1007990.JPG,33.01379,-87.63979,142.889999,2.248837,-89.998124,61.314295,8192,6144
S1007993.JPG,33.013855,-87.639651,143.022003,1.019691,-89.998028,60.97696,8192,6144
S1007996.JPG,33.013921,-87.639511,142.600006,0.506501,-89.998598,61.067915,8192,6144
S1007999.JPG,33.013987,-87.639371,142.332001,1.121596,-89.995202,61.038967,8192,6144
S1008002.JPG,33.014143,-87.639466,142.813004,-12.670867,-89.992242,240.610963,8192,6144
S1008005.JPG,33.014087,-87.639594,142.442993,-2.554121,-89.981333,241.614127,8192,6144
S1008008.JPG,33.014027,-87.639721,142.421997,-4.176213,-89.996896,240.190319,8192,6144
S1008011.JPG,33.013967,-87.639849,142.658005,-5.712715,-89.996228,241.239796,8192,6144
S1008014.JPG,33.013908,-87.639976,142.686005,0.066088,-89.994093,239.968102,8192,6144
S1008017.JPG,33.013848,-87.640103,142.951996,-0.406204,-89.992295,240.259698,8192,6144
S1008020.JPG,33.01379,-87.640232,143.024994,-7.050684,-89.993414,240.889095,8192,6144
S1008023.JPG,33.01373,-87.640359,142.563995,-8.182029,-89.990645,241.687271,8192,6144
S1008026.JPG,33.013669,-87.640487,142.623001,-4.945856,-89.99052,241.6593,8192,6144
